{'index': 0, 'entNoMidRatio': 1.0}
{'index': 382, 'entNoMidRatio': 1.0}
{'index': 383, 'entNoMidRatio': 0.0}
{'index': 384, 'entNoMidRatio': 0.8333333333333334}
{'index': 385, 'entNoMidRatio': 0.6666666666666666}
{'index': 386, 'entNoMidRatio': 0.7692307692307693}
{'index': 387, 'entNoMidRatio': 0.0}
{'index': 388, 'entNoMidRatio': 0.0}
{'index': 389, 'entNoMidRatio': 0.2857142857142857}
{'index': 390, 'entNoMidRatio': 0.0}
{'index': 391, 'entNoMidRatio': 1.0}
{'index': 392, 'entNoMidRatio': 0.0}
{'index': 393, 'entNoMidRatio': 1.0}
{'index': 394, 'entNoMidRatio': 1.0}
{'index': 395, 'entNoMidRatio': 0.42857142857142855}
{'index': 396, 'entNoMidRatio': 0.5714285714285714}
{'index': 397, 'entNoMidRatio': 0.46511627906976744}
{'index': 398, 'entNoMidRatio': 0.4642857142857143}
{'index': 400, 'entNoMidRatio': 0.42857142857142855}
{'index': 401, 'entNoMidRatio': 0.7142857142857143}
{'index': 402, 'entNoMidRatio': 0.5}
{'index': 403, 'entNoMidRatio': 0.0}
{'index': 405, 'entNoMidRatio': 0.14285714285714285}
{'index': 406, 'entNoMidRatio': 0.8571428571428571}
{'index': 407, 'entNoMidRatio': 0.375}
{'index': 408, 'entNoMidRatio': 0.0}
{'index': 409, 'entNoMidRatio': 0.2857142857142857}
{'index': 410, 'entNoMidRatio': 0.8}
{'index': 411, 'entNoMidRatio': 0.6666666666666666}
{'index': 412, 'entNoMidRatio': 0.6}
{'index': 413, 'entNoMidRatio': 0.40540540540540543}
{'index': 414, 'entNoMidRatio': 0.5714285714285714}
{'index': 415, 'entNoMidRatio': 0.42857142857142855}
{'index': 416, 'entNoMidRatio': 1.0}
{'index': 417, 'entNoMidRatio': 0.8571428571428571}
{'index': 418, 'entNoMidRatio': 0.8571428571428571}
{'index': 419, 'entNoMidRatio': 1.0}
{'index': 420, 'entNoMidRatio': 0.42857142857142855}
{'index': 421, 'entNoMidRatio': 0.0}
{'index': 422, 'entNoMidRatio': 0.7241379310344828}
{'index': 423, 'entNoMidRatio': 0.6666666666666666}
{'index': 424, 'entNoMidRatio': 0.0}
{'index': 426, 'entNoMidRatio': 0.8571428571428571}
{'index': 427, 'entNoMidRatio': 0.21428571428571427}
{'index': 428, 'entNoMidRatio': 0.6363636363636364}
{'index': 429, 'entNoMidRatio': 0.5}
{'index': 430, 'entNoMidRatio': 0.7142857142857143}
{'index': 431, 'entNoMidRatio': 0.0}
